,Start Time,End Time,Trip Duration,Start Station,End Station,User Type,Gender,Birth Year
5688089,6/11/2017 14:55,6/11/2017 15:08,795,Suffolk St & Stanton St,W Broadway & Spring St,Subscriber,Male,1998
4096714,5/11/2017 15:30,5/11/2017 15:41,692,Lexington Ave & E 63 St,1 Ave & E 78 St,Subscriber,Male,1981
2173887,3/29/2017 13:26,3/29/2017 13:48,1325,1 Pl & Clinton St,Henry St & Degraw St,Subscriber,Male,1987
3945638,5/8/2017 19:47,5/8/2017 19:59,703,Barrow St & Hudson St,W 20 St & 8 Ave,Subscriber,Female,1986
6208972,6/21/2017 7:49,6/21/2017 7:54,329,1 Ave & E 44 St,E 53 St & 3 Ave,Subscriber,Male,1992
1285652,2/22/2017 18:55,2/22/2017 19:12,998,State St & Smith St,Bond St & Fulton St,Subscriber,Male,1986
1675753,3/6/2017 16:22,3/6/2017 16:30,478,Front St & Gold St,Lafayette Ave & Fort Greene Pl,Subscriber,Male,1982
1692245,3/7/2017 7:42,3/7/2017 8:49,4038,E 89 St & York Ave,Broadway & Battery Pl,Subscriber,Male,1984
2271331,4/2/2017 8:02,4/2/2017 9:28,5132,Central Park S & 6 Ave,Central Park S & 6 Ave,Customer,,
1558339,3/1/2017 23:01,3/1/2017 23:06,309,E 3 St & 1 Ave,E 25 St & 2 Ave,Subscriber,Male,1992
2287178,4/2/2017 14:37,4/2/2017 14:56,1131,Bank St & Washington St,Little West St & 1 Pl,Customer,,
2744874,4/13/2017 13:40,4/13/2017 13:45,319,Front St & Maiden Ln,Liberty St & Broadway,Subscriber,Male,1955
3398180,4/27/2017 23:27,4/28/2017 0:05,2301,E 10 St & 5 Ave,Columbus Ave & W 72 St,Subscriber,Male,1971
991609,2/13/2017 15:40,2/13/2017 16:00,1172,1 Ave & E 68 St,E 47 St & Park Ave,Subscriber,Male,1993
1512596,2/28/2017 19:26,2/28/2017 19:35,518,N 11 St & Wythe Ave,Bushwick Ave & Powers St,Subscriber,Male,1983
187466,1/11/2017 11:30,1/11/2017 11:35,285,E 17 St & Broadway,W 17 St & 8 Ave,Subscriber,Male,1972
2195658,3/29/2017 20:19,3/29/2017 20:24,263,State St & Smith St,Johnson St & Gold St,Subscriber,Male,1982
6388534,6/23/2017 21:21,6/23/2017 21:30,525,E 2 St & Avenue C,E 11 St & 2 Ave,Subscriber,Female,1997
4733837,5/24/2017 8:53,5/24/2017 9:04,658,Central Park West & W 76 St,E 72 St & York Ave,Subscriber,Male,1979
5857,1/1/2017 13:32,1/1/2017 13:49,1038,W 22 St & 8 Ave,W 45 St & 6 Ave,Customer,,
1132766,2/18/2017 13:29,2/18/2017 13:30,82,E 71 St & 1 Ave,1 Ave & E 68 St,Subscriber,Male,1983
3358474,4/27/2017 9:44,4/27/2017 9:48,204,University Pl & E 14 St,Washington Pl & Broadway,Subscriber,Male,1988
1778858,3/9/2017 11:15,3/9/2017 11:29,803,E 25 St & 2 Ave,Suffolk St & Stanton St,Subscriber,Female,1978
2497952,4/8/2017 13:39,4/8/2017 14:04,1476,Dean St & Hoyt St,Plaza St West & Flatbush Ave,Customer,,
